chunk_id	doc_id	damage_classes	clause_type	chunk_len	text
chunk_00000	policy_1_bharat_suraksha		general	266	BHARAT SURAKSHA MOTOR INSURANCE CO. LTD MOTOR PRIVATE CAR COMPREHENSIVE POLICY WORDINGS Policy Type: Comprehensive Own Damage and Third Party Liability Whereas the insured, by a proposal and declaration dated as stated in the Schedule, has applied to Bharat Suraksha
chunk_00001	policy_1_bharat_suraksha		general	193	Motor Insurance Company Limited (hereinafter referred to as the Company) for the insurance described herein, and has paid the premium stated in the Schedule as consideration for this insurance.
chunk_00002	policy_1_bharat_suraksha	broken_lamp	coverage	266	SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED The Company will indemnify the insured against loss or damage to the vehicle insured and its accessories whilst thereon, arising from the following perils: (cid:127) By fire, explosion, self-ignition, or lightning.
chunk_00003	policy_1_bharat_suraksha		general	233	(cid:127) By burglary, housebreaking, or theft. (cid:127) By riot and strike. (cid:127) By earthquake, including fire and shock damage. (cid:127) By flood, typhoon, hurricane, storm, tempest, inundation, cyclone, hailstorm, or frost.
chunk_00004	policy_1_bharat_suraksha	dent,scratch,crack,broken_lamp	definition	200	(cid:127) By accidental external means, including collision, impact with another vehicle or stationary object, and resulting dents, scratches, cracks, and breakage of lamps or other exterior fittings.
chunk_00005	policy_1_bharat_suraksha	scratch	general	295	(cid:127) By malicious act, including intentional scratching, keying, or deliberate damage to exterior panels. (cid:127) By terrorist activity. (cid:127) Whilst in transit by road, rail, inland waterway, lift, elevator, or air. (cid:127) By landslide or rockslide. DEPRECIATION ON REPLACED PARTS
chunk_00006	policy_1_bharat_suraksha	shattered_glass,flat_tyre	general	230	The following depreciation rates apply to parts necessarily replaced: (cid:127) For all rubber, nylon, plastic parts, tyres, tubes, batteries, and air bags: 50% depreciation. (cid:127) For fibre glass components: 30% depreciation.
chunk_00007	policy_1_bharat_suraksha	shattered_glass	general	290	(cid:127) For all parts made of glass, including windscreen, rear windscreen, and door windows: Nil depreciation applies. The full replacement cost is recoverable. (cid:127) For all other parts including wooden parts: depreciation as per the schedule below. Age of Vehicle % of Depreciation
chunk_00008	policy_1_bharat_suraksha		sub_limit	297	Age of Vehicle % of Depreciation Not exceeding 6 months Nil Exceeding 6 months but not exceeding 1 year 5% Exceeding 1 year but not exceeding 2 years 10% Exceeding 2 years but not exceeding 3 years 15% Exceeding 3 years but not exceeding 4 years 25% Exceeding 4 years but not exceeding 5 years 35%
chunk_00009	policy_1_bharat_suraksha		sub_limit	188	Exceeding 5 years but not exceeding 10 years 40% Exceeding 10 years 50% Rate of Depreciation for Painting: A depreciation rate of 50% is applied only on the material cost of total painting
chunk_00010	policy_1_bharat_suraksha	flat_tyre	condition	254	charges. In the case of a consolidated bill, the material component is deemed to be 25% of total painting charges. TYRE AND TUBE DAMAGE Damage to tyres and tubes is covered subject to a deduction of 50% of the cost of replacement, but only if the vehicle
chunk_00011	policy_1_bharat_suraksha	flat_tyre	general	199	insured has also sustained damage at the same time. Where the vehicle has not been damaged simultaneously, tyre and tube damage alone is not recoverable under this section. EXCLUSIONS UNDER SECTION I
chunk_00012	policy_1_bharat_suraksha		exclusion	66	The Company shall not be liable to make any payment in respect of:
chunk_00013	policy_1_bharat_suraksha		general	177	1. Consequential loss, depreciation, wear and tear, or mechanical and electrical breakdown, failures, or breakages, even where such breakdown results in external visible damage.
chunk_00014	policy_1_bharat_suraksha	dent,scratch	coverage	204	2. Dents, scratches, or panel damage arising solely from gradual deterioration, road vibration over time, or corrosion, rather than from a specific identifiable accidental event covered under this policy.
chunk_00015	policy_1_bharat_suraksha	scratch	general	138	3. Scratch or abrasion damage attributable to routine car washing, polishing, or normal servicing activities, classified as wear and tear.
chunk_00016	policy_1_bharat_suraksha	crack	general	144	4. Cracks in the dashboard, door trims, or interior plastic components from thermal expansion or contraction due to ambient temperature changes.
chunk_00017	policy_1_bharat_suraksha	dent,broken_lamp	general	157	5. Lamp failure due to bulb burnout, filament failure, or electrical fault, without any accompanying physical impact or breakage of the lamp housing or lens.
chunk_00018	policy_1_bharat_suraksha	broken_lamp	general	112	6. Condensation or fogging inside lamp assemblies not accompanied by physical damage to the lamp housing itself.
chunk_00019	policy_1_bharat_suraksha	scratch,crack,shattered_glass	general	142	7. Windscreen scratches or minor surface marks on glass that do not constitute a break, crack, or chip impairing the driver's field of vision.
chunk_00020	policy_1_bharat_suraksha	flat_tyre	general	129	8. Tyre wear and tread depth below the legal minimum limit, or damage arising from driving on tyres in an unroadworthy condition.
chunk_00021	policy_1_bharat_suraksha	flat_tyre	general	135	9. Tyre or tube damage when the vehicle was being operated outside the geographical area specified in the Schedule at the time of loss.
chunk_00022	policy_1_bharat_suraksha		general	151	10. Loss or damage arising from contractual liability or arising out of use of the vehicle otherwise than in accordance with the Limitations as to Use.
chunk_00023	policy_1_bharat_suraksha		general	158	11. Any loss or damage sustained whilst the insured or driver was under the influence of intoxicating liquor or drugs. BHARAT SURAKSHA MOTOR INSURANCE CO. LTD
chunk_00024	policy_1_bharat_suraksha		general	292	SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV) The Insured Declared Value (IDV) of the vehicle shall be the Sum Insured for the purpose of this policy, fixed at policy commencement based on the manufacturer's listed selling price adjusted for depreciation as per the schedule below:
chunk_00025	policy_1_bharat_suraksha		sub_limit	297	Age of Vehicle % of Depreciation Not exceeding 6 months 5% Exceeding 6 months but not exceeding 1 year 15% Exceeding 1 year but not exceeding 2 years 20% Exceeding 2 years but not exceeding 3 years 30% Exceeding 3 years but not exceeding 4 years 40% Exceeding 4 years but not exceeding 5 years 50%
chunk_00026	policy_1_bharat_suraksha		general	135	The insured vehicle shall be treated as a Constructive Total Loss if the aggregate cost of retrieval and repair exceeds 75% of the IDV.
chunk_00027	policy_1_bharat_suraksha	dent	exclusion	277	SECTION III. DEDUCTIBLE The Company shall not be liable for the first Rs. 1,000 of each and every claim under Section I of this policy. This deductible applies to each occurrence independently, including occurrences giving rise to a Total Loss or Constructive Total Loss claim.
chunk_00028	policy_1_bharat_suraksha		coverage	273	SECTION IV. THIRD PARTY LIABILITY Subject to the limits of liability in the Schedule, the Company will indemnify the insured against all sums the insured becomes legally liable to pay in respect of death of or bodily injury to any person, or damage to third-party property,
chunk_00029	policy_1_bharat_suraksha		exclusion	286	caused by or arising from use of the vehicle, as required under the Motor Vehicles Act. Provided always that the Company shall not be liable for death, injury, or property damage arising beyond the limits of any public carriageway in connection with loading or unloading of the vehicle.
chunk_00030	policy_1_bharat_suraksha		coverage	295	SECTION V. ADD-ON COVERS Add-On 1: Nil Depreciation Cover (Zero Dep) In the event of a partial loss claim, no depreciation deduction shall apply to the cost of parts replaced, subject to payment of additional premium. This cover is available for vehicles not exceeding 5 years from date of first
chunk_00031	policy_1_bharat_suraksha	dent,flat_tyre	sub_limit	274	registration. Add-On 2: Roadside Assistance Emergency towing assistance is provided up to 50 km free of charge in the event of accident or breakdown. Flat tyre replacement using the vehicle's stepney is included. Fuel delivery of up to 5 litres is chargeable at actual cost.
chunk_00032	policy_1_bharat_suraksha		coverage	256	Add-On 3: Engine Protection Cover Consequential damage to engine parts and gearbox components arising from water ingression due to flood or inundation is covered under this add-on, subject to the claim under Section I being admissible and the vehicle being
chunk_00033	policy_1_bharat_suraksha		coverage	262	retrieved from the waterlogged area within 72 hours. Exclusion under Engine Protection: Damage to engine or gearbox arising from delay in intimation, from driving the vehicle after it has ingested water, or from gradual corrosion of engine parts, is not covered.
chunk_00034	policy_1_bharat_suraksha		exclusion	284	A No Claim Bonus discount is applicable on Own Damage premium at renewal: Claim History NCB Discount on OD Premium 1 claim-free year 20% 2 consecutive claim-free years 25% 3 consecutive claim-free years 35% 4 consecutive claim-free years 45% 5 or more consecutive claim-free years 50%
chunk_00035	policy_1_bharat_suraksha		general	84	NCB reverts to 0% at the next renewal if any claim is made during the policy period.
chunk_00036	policy_1_bharat_suraksha	dent	general	189	1. The insured must give immediate written notice to the Company upon the occurrence of any accidental loss or damage. In the case of theft, immediate notice to the police is also required.
